Fájlnév;Méret;Készítés Dátuma;Módosítás dátuma;Típus;Tulajdonos
5svwqg2i.csv;7053543;2025-06-05;2022-09-27;csv;admin
ckdn591q.csv;3532678;2021-01-21;2022-02-25;csv;guest
epylye3e.txt;2101328;2020-11-24;2022-11-23;txt;admin
983f92is.png;9304829;2020-07-07;2023-03-30;png;user1
obbrg7dr.csv;6481194;2023-02-11;2022-06-08;csv;user1
n63plq5a.jpg;3013300;2021-05-01;2025-04-28;jpg;user1
851ce54l.csv;6641777;2024-01-14;2022-11-19;csv;user1
qpmpvwby.docx;6550537;2025-06-04;2024-02-09;docx;user1
qcjtuijp.jpg;3942450;2022-08-14;nincs;jpg;admin
58i2wlup.png;1181230;2021-08-23;2022-12-07;png;guest
3gk8h0mz.pdf;1097974;2022-06-29;2024-09-24;pdf;admin
sfrs8rri.pdf;5480807;2024-03-21;2023-01-01;pdf;user1
8j17r63h.png;9639307;2023-12-29;2022-01-12;png;guest
n1a8t873.docx;9356825;2023-01-07;nincs;docx;guest
bzpmixt8.pdf;2884696;2020-11-06;2022-07-23;pdf;admin
unm5ngeh.png;8723498;2023-12-16;nincs;png;admin
w19bd02f.csv;7912760;2021-10-01;2022-07-28;csv;guest
4izx17uc.csv;3525207;2021-01-31;nincs;csv;admin
fbihkgif.jpg;688720;2025-07-19;nincs;jpg;admin
ai0prudw.txt;9006361;2023-04-01;2025-05-27;txt;guest
dxh4nidx.jpg;2377412;2023-11-24;2022-12-21;jpg;guest
za9ee2om.txt;7473673;2022-06-07;nincs;txt;user1
oh4ltjrq.png;2860317;2024-07-16;2023-01-21;png;guest
jozw81x9.jpg;5217962;2021-03-21;2024-02-09;jpg;guest
mj5ulsvw.txt;9658615;2020-05-09;2025-05-23;txt;user1
6j75ur4t.csv;5654147;2021-12-21;nincs;csv;guest
jfregruq.pdf;1020292;2025-12-20;2023-04-13;pdf;guest
1b7u3zt3.docx;9534976;2020-10-12;nincs;docx;user1
4nkl9jsc.pdf;6343379;2021-12-23;nincs;pdf;user1
hxne8q0w.pdf;4219905;2022-08-02;nincs;pdf;user1
yu6bv1sy.png;1912884;2025-07-21;nincs;png;guest
o1cl601r.pdf;9684431;2023-08-11;2022-09-04;pdf;guest
h6k31lc8.csv;9934933;2022-08-19;nincs;csv;admin
1igk74jp.jpg;1715774;2020-04-01;2025-07-30;jpg;user1
rzs679ro.png;2043133;2021-08-03;2024-09-12;png;user1
2iqlod50.txt;9138461;2024-07-22;2024-10-09;txt;guest
