Megálló;Hatvantól;Stadiontól
Budapest, Stadion autóbusz-pályaudvar;20;0
Budapest, Örs vezér tere;19;1
Budapest, Nagyicce;18;2
Budapest, Jókai Mór utca (Rendőrség);17;3
Budapest, Mátyásföld Imre utca;16;4
Budapest, Vidámvásár utca;15;5
Kistarcsa, Megyei kórház;14;6
Kistarcsa, vendéglő;13;7
Kerepes, Templom tér;12;8
Gödöllő, autóbusz-állomás;11;9
Gödöllő, Egyetem;10;10
Gödöllő, Máriabesnyő vasúti megállóhely bejárati út;9;11
Domonyvölgy;8;12
Bagi elágazás;7;13
Aszód, Kossuth Lajos utca 2.;6;14
Aszód, vasútállomás bejárati út;5;15
Aszód, Bethlen Gábor utca;4;16
Kerekharaszt;3;17
Hatvan, Rákóczi út;2;18
Hatvan, Zöldfa vendéglő;1;19
Hatvan, autóbusz-pályaudvar;0;20
