Márka;typus;Szín;Ár
Toyota;Corolla;Fehér;7200000
Volkswagen;Golf;Fekete;6800000
Ford;Focus;Szürke;6500000
Honda;Civic;Piros;6900000
BMW;320i;Kék;11200000
Audi;A4;Ezüst;11900000
Mercedes-Benz;C200;Fekete;12500000
Skoda;Octavia;Fehér;7400000
Hyundai;i30;Kék;6600000
Kia;Ceed;Szürke;6700000
Renault;Megane;Piros;6200000
Peugeot;308;Zöld;6400000
Mazda;3;Piros;7100000
Nissan;Qashqai;Fekete;8100000
Suzuki;Vitara;Fehér;7500000
Dacia;Duster;Szürke;6100000
Seat;Leon;Kék;6700000
Opel;Astra;Ezüst;6300000
Fiat;Tipo;Fehér;5900000
Tesla;Model 3;Fekete;14800000
Toyota;Yaris;Piros;6400000
Volkswagen;Polo;Fehér;6200000
Ford;Kuga;Szürke;9200000
Honda;Jazz;Kék;6500000
BMW;X1;Fekete;13800000
Audi;Q3;Fehér;14400000
Mercedes-Benz;GLA;Ezüst;14900000
Skoda;Fabia;Piros;5700000
Hyundai;Tucson;Szürke;9600000
Kia;Sportage;Fekete;9800000
Renault;Captur;Kék;7200000
Peugeot;2008;Narancs;7500000
Mazda;CX-30;Szürke;8900000
Nissan;Juke;Piros;7800000
Suzuki;Swift;Fehér;5900000
Dacia;Sandero;Ezüst;5600000
Seat;Arona;Kék;7300000
Opel;Corsa;Piros;6000000
Fiat;500;Fehér;6200000
Tesla;Model Y;Fekete;16200000
Volvo;XC40;Szürke;15300000
